jurisdiction,source_type,official_code,activity_name,activity_name_normalized,official_category,official_status,official_risk_rating,official_industry_risk,official_dnfbp,official_third_party,official_when,official_notes,raw_payload,source_row_hash
Meydan,api,1811.01,"Printing Of Newspapers, Magazines And Other Periodicals, Books And Brochures, Music And Music Manuscripts, Maps, Atlases, Posters, Advertising Catalogues, Prospectuses And Other Printed Advertising, Postage Stamps, Taxation Stamps, Documents Of Title, Cheques And Other Security Papers.",printing of newspapers magazines and other periodicals books and brochures music and music manuscripts maps atlases posters advertising catalogues prospectuses and other printed advertising postage stamps taxation stamps documents of title cheques and other security papers,Manufacturing,Active,Low,No,No,UAEMC (UAE Media Council),PRE,,"{'SN': 13, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1811.01', 'Activity Name': 'Printing Of Newspapers, Magazines And Other Periodicals, Books And Brochures, Music And Music Manuscripts, Maps, Atlases, Posters, Advertising Catalogues, Prospectuses And Other Printed Advertising, Postage Stamps, Taxation Stamps, Documents Of Title, Cheques And Other Security Papers.', 'النشاط': 'طباعة الُصحف والمجلات والدوريات الاخرى، الُكتب والمنشورات، الموسيقى والمؤلفات الموسيقية، الخرائط، الاطالس، الملصقات، كتالوجات الاعلانات، النشرات التمهيدية وغيرها من مواد الاعلان المطبوعة، طوابع البريد، طوابع الضرائب، وثائق حقوق الملكية، الشيكات والسندات الاخرى', 'Third Party': 'UAEMC (UAE Media Council)', 'When': 'PRE', 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",a9f207762a83096581b30bdb013cc62ffc703726d77229a2daca78f9b8f241d4
Meydan,api,1811.02,"Printing Directly Onto Textiles, Plastic, Glass, Metal, Wood And Ceramics (Except Silkscreen Printing On Textiles And Wearing Apparel)",printing directly onto textiles plastic glass metal wood and ceramics except silkscreen printing on textiles and wearing apparel,Manufacturing,Active,Low,No,No,,,,"{'SN': 14, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1811.02', 'Activity Name': 'Printing Directly Onto Textiles, Plastic, Glass, Metal, Wood And Ceramics (Except Silkscreen Printing On Textiles And Wearing Apparel)', 'النشاط': 'الطباعة المباشرة على النسيج والزجاج اللدائني والمعادن والخشب والخزف (باستثناء الطباعة السطحية على المنسوجات والملابس)', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",a7258f704a978f655eabc803d165098b2da146fcb1dde8809dd9d410b7136cf2
Meydan,api,1811.03,"Printing On Labels Or Tags (Lithographic, Gravure Printing, Flexographic Printing, Other)",printing on labels or tags lithographic gravure printing flexographic printing other,Manufacturing,Active,Low,No,No,,,,"{'SN': 15, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1811.03', 'Activity Name': 'Printing On Labels Or Tags (Lithographic, Gravure Printing, Flexographic Printing, Other)', 'النشاط': 'الطباعة على بطاقات المنتجات او الاعلانات (الطباعة الليثوغرافية، طباعة الحفر، والفلكسوغرافية، وغير ذلك)', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",e0b7b7cb9d44ab7c97d29fefc427574f282b9c7a2cf7f53c6aec35e8b524bb60
Meydan,api,1811.04,"Printing Of Diaries, Calendars, Business Forms And Other Commercial Printed Matter, Personal Stationery And Other Printed Matter By Letterpress, Offset, Photogravure, Flexographic And Other Printing Presses, Duplication Machines, Computer Printers, Embossers Etc.",printing of diaries calendars business forms and other commercial printed matter personal stationery and other printed matter by letterpress offset photogravure flexographic and other printing presses duplication machines computer printers embossers etc,Manufacturing,Active,Low,No,No,,,,"{'SN': 16, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1811.04', 'Activity Name': 'Printing Of Diaries, Calendars, Business Forms And Other Commercial Printed Matter, Personal Stationery And Other Printed Matter By Letterpress, Offset, Photogravure, Flexographic And Other Printing Presses, Duplication Machines, Computer Printers, Embossers Etc.', 'النشاط': 'طباعة اليوميات، التقاويم، الاستمارات التجارية والمواد التجارية المطبوعة الاخرى، المواد المكتبية الشخصية والمواد المطبوعة بطابعات الحروف، طباعة الاوفست، الحفر الضوئي، الفليكسوغرافيا، الات الطباعة الاخرى، ماكينات استخراج النُسخ، طابعات الحواسيب، طابعات الحروف البارزة، الخ', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",a1740b3ca2e78a10e0d164e0a1a03de21bc0d6b62594343f1959b0a9552dbb4f
Meydan,api,1812.00,Service Activities Related To Printing,service activity related to printing,Manufacturing,Active,Low,No,No,,,,"{'SN': 17, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1812.00', 'Activity Name': 'Service Activities Related To Printing', 'النشاط': 'انشطة الخدمات المتصلة بالطباعة', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",c4a662b93ef00c1b5bc63f1093a5a2c05ea053e9cd6e82a3cf66ce75798a0e42
Meydan,api,1812.08,Artistic Work Including Preparation Of Litho Stones And Prepared Woodblocks,artistic work including preparation of litho stones and prepared woodblocks,Manufacturing,Active,Low,No,No,,,,"{'SN': 18, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1812.08', 'Activity Name': 'Artistic Work Including Preparation Of Litho Stones And Prepared Woodblocks', 'النشاط': 'الاعمال الفنية بما فيها اعداد احجار الليثوغراف والكتل الخشبية المحضرة', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",93ecfecf3b41b514efdd78b577c1aab1b365ddd0a4357d656801b9f223cabb3c
Meydan,api,1812.10,"Design Of Printing Products E.G. Sketches, Layouts, Dummies Etc.",design of printing products e g sketches layouts dummies etc,Manufacturing,Active,Low,No,No,,,,"{'SN': 19, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1812.10', 'Activity Name': 'Design Of Printing Products E.G. Sketches, Layouts, Dummies Etc.', 'النشاط': 'تصميم منتجات الطباعة، مثل الرسوم التوضيحية والمخططات والنماذج المجسدة، الخ،', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",f6fa3cebfa15c66af906e2a422bfa0702c2330f4cc9127051e71c5b06ac6a4b9
Meydan,api,1812.97,Design & Artwork Services,design and artwork service,Manufacturing,Active,Low,No,No,,,,"{'SN': 20, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1812.97', 'Activity Name': 'Design & Artwork Services', 'النشاط': 'خدمات التصميم الفني للمطبوعات', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",a0c53e8d0df1129c81a52fca0b7c7bf3af3300921d6ac1d8f9973035dc372d18
Meydan,api,3310.00,"Repair Of Fabricated Metal Products, Machinery And Equipment",repair of fabricated metal products machinery and equipment,Manufacturing,Active,Low,No,No,,,,"{'SN': 21, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3310.00', 'Activity Name': 'Repair Of Fabricated Metal Products, Machinery And Equipment', 'النشاط': 'اصلاح منتجات المعادن المشكَّلة والالات والمعدات', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",6a03497135c0ef6094a90484be804952199ad25de850d593d06a3d5756e0ceaa
Meydan,api,3311.00,Repair Of Fabricated Metal Products,repair of fabricated metal products,Manufacturing,Active,Low,No,No,,,,"{'SN': 22, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3311.00', 'Activity Name': 'Repair Of Fabricated Metal Products', 'النشاط': 'إصلاح المنتجات المعدنية المصنعة', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",9ab44d5130c8a3843deb4f7096781ce790ff0a209a6f0f9c6d94da9d0df061a8
Meydan,api,3312.00,Repair Of Machinery,repair of machinery,Manufacturing,Active,Low,No,No,,,,"{'SN': 23, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3312.00', 'Activity Name': 'Repair Of Machinery', 'النشاط': 'اصلاح الالات', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",4dfcd4668f87b5fd5e439ebe513d145d2c8333f6f4dfe2f1e03bf02644d07cf3
Meydan,api,3312.01,Repair And Maintenance Of Industrial Machinery And Equipment,repair and maintenance of industrial machinery and equipment,Manufacturing,Active,Low,No,No,,,,"{'SN': 24, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3312.01', 'Activity Name': 'Repair And Maintenance Of Industrial Machinery And Equipment', 'النشاط': 'اصلاح وصيانة الالات والمعدات الصناعية', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",eb84ff4489b2cd9bc874b30a1dee6d3c79202070619c8189cd56b6d1a648810f
Meydan,api,3312.02,"Repair And Maintenance Of Non-Automotive Engines, E.G. Ship Or Rail Engines",repair and maintenance of non automotive engines e g ship or rail engines,Manufacturing,Active,Low,No,No,,,,"{'SN': 25, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3312.02', 'Activity Name': 'Repair And Maintenance Of Non-Automotive Engines, E.G. Ship Or Rail Engines', 'النشاط': 'اصلاح وصيانة المحركات غير محركات السيارات، مثل محركات السفن والقطارات', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",b4a125c4ff08ba394a2e71b7ab542006d5b40121f48d2d6dc1e5efdd6e991742
Meydan,api,3312.03,Repair And Maintenance Of Pumps And Related Equipment,repair and maintenance of pumps and related equipment,Manufacturing,Active,Low,No,No,,,,"{'SN': 26, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3312.03', 'Activity Name': 'Repair And Maintenance Of Pumps And Related Equipment', 'النشاط': 'اصلاح وصيانة المضخات وما يتصل بها من معدات', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",1014906d3008393be406e81557272888109f1ec048b9e3eac1aef5e901535677
Meydan,api,3314.00,Repair Of Electrical Equipment,repair of electrical equipment,Manufacturing,Active,Low,No,No,,,,"{'SN': 27, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.00', 'Activity Name': 'Repair Of Electrical Equipment', 'النشاط': 'اصلاح المعدات الكهربائية', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",828d8cd10721e8a690ab9d2c8eb3d941880452b0ddddfaf9f9fb6439db29aa82
Meydan,api,3314.01,"Repair And Maintenance Of Power, Distribution, And Specialty Transformers",repair and maintenance of power distribution and specialty transformers,Manufacturing,Active,Low,No,No,,,,"{'SN': 28, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.01', 'Activity Name': 'Repair And Maintenance Of Power, Distribution, And Specialty Transformers', 'النشاط': 'اصلاح وصيانة محولات الكهرباء والتوزيع والمحولات ذات الاغراض الخاصة', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",6c6a3954336cdd4e96d0de39a678d49508ce388441ef140ed2e9907a4a291f28
Meydan,api,3314.02,"Repair And Maintenance Of Electric Motors, Generators, And Motor Generator Sets",repair and maintenance of electric motors generators and motor generator sets,Manufacturing,Active,Low,No,No,,,,"{'SN': 29, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.02', 'Activity Name': 'Repair And Maintenance Of Electric Motors, Generators, And Motor Generator Sets', 'النشاط': 'اصلاح وصيانة المحركات والمولدات الكهربائية و مجاميع المولدات للمحركات', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",965f601e92db60fbcadbee18e3b3056770b781bf317b650e954141a891901c87
Meydan,api,3314.03,Repair And Maintenance Of Switchgear And Switchboard Apparatus,repair and maintenance of switchgear and switchboard apparatus,Manufacturing,Active,Low,No,No,,,,"{'SN': 30, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.03', 'Activity Name': 'Repair And Maintenance Of Switchgear And Switchboard Apparatus', 'النشاط': 'اصلاح وصيانة اجهزة التحويل ولوحات التحويل', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",a6cb9833c451c1b8d509e9aa234099c3c554de27f890457945bf687665f81f7f
Meydan,api,3314.04,Repair And Maintenance Of Relays And Industrial Controls,repair and maintenance of relays and industrial controls,Manufacturing,Active,Low,No,No,,,,"{'SN': 31, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.04', 'Activity Name': 'Repair And Maintenance Of Relays And Industrial Controls', 'النشاط': 'اصلاح وصيانة اجهزة الترحيل والضوابط الصناعية', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",f8be5320fe79de5e871142cf2ef8dff6dd88c64a2f9d45979e93148ca2946134
Meydan,api,3314.05,Repair And Maintenance Of Primary And Storage Batteries,repair and maintenance of primary and storage batteries,Manufacturing,Active,Low,No,No,,,,"{'SN': 32, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.05', 'Activity Name': 'Repair And Maintenance Of Primary And Storage Batteries', 'النشاط': 'اصلاح وصيانة البطاريات الاساسية وبطاريات الخزن', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",a13e175cb556cc9b2d545ee26231a8403007f4839872b6b756862a062be428fd
Meydan,api,3314.06,Repair And Maintenance Of Electric Lighting Equipment,repair and maintenance of electric lighting equipment,Manufacturing,Active,Low,No,No,,,,"{'SN': 33, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.06', 'Activity Name': 'Repair And Maintenance Of Electric Lighting Equipment', 'النشاط': 'اصلاح وصيانة معدات الاضاءة الكهربائية', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",13c36ef008af5ee8bc5972bc1f1fe87afaf0851e77bb26b8775781a2b3defc76
Meydan,api,3314.07,Repair And Maintenance Of Current-Carrying Wiring Devices And Non Current-Carrying Wiring Devices For Wiring Electrical Circuits,repair and maintenance of current carrying wiring devices and non current carrying wiring devices for wiring electrical circuits,Manufacturing,Active,Low,No,No,,,,"{'SN': 34, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3314.07', 'Activity Name': 'Repair And Maintenance Of Current-Carrying Wiring Devices And Non Current-Carrying Wiring Devices For Wiring Electrical Circuits', 'النشاط': 'اصلاح وصيانة اجهزة مد الاسلاك الحاملة للطاقة واجهزة مد الاسلاك غير الحاملة للطاقة التي تستخدم في توصيل الدارات الكهربائية', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",244f1535c10e66bb26f6cc4bdb85561c57066d770cd6f656b3217bf544d2ef8a
Meydan,api,3315.87,Ships & Boats Maintenance Services,ships and boats maintenance service,Manufacturing,Active,Low,,,DMA (Dubai Maritime Authority),PRE,,"{'SN': 35, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3315.87', 'Activity Name': 'Ships & Boats Maintenance Services', 'النشاط': 'خدمات صيانة السفن والقوارب', 'Third Party': 'DMA (Dubai Maritime Authority)', 'When': 'PRE', 'Risk Rating': 'Low', 'Industry Risk': None, 'DNFBP': None, 'Notes': None, 'Status': 'Active', 'ESR': None, 'ESR Notes': None, 'Edit Remarks': '07-Oct-2024'}",a85f4babcd86d745c524b8f4283b266ea6c7ddfbb7caf4fa61b854609d42ab8e
Meydan,api,3315.88,Ships & Boats Repairing,ships and boats repair,Manufacturing,Active,Low,,,DMA (Dubai Maritime Authority),PRE,,"{'SN': 36, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3315.88', 'Activity Name': 'Ships & Boats Repairing', 'النشاط': 'اصلاح السفن والقوارب', 'Third Party': 'DMA (Dubai Maritime Authority)', 'When': 'PRE', 'Risk Rating': 'Low', 'Industry Risk': None, 'DNFBP': None, 'Notes': None, 'Status': 'Active', 'ESR': None, 'ESR Notes': None, 'Edit Remarks': '07-Oct-2024'}",5686bd51a408178d2aef7bc681366d8bc38ac51c96699d087e235f1b359a9bcb
Meydan,api,3315.92,Aircraft Engine & Parts Repair & Overhaul,aircraft engine and parts repair and overhaul,Manufacturing,Active,High,,,Dubai Civil Aviation Authority (DCAA),PRE,,"{'SN': 37, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3315.92', 'Activity Name': 'Aircraft Engine & Parts Repair & Overhaul', 'النشاط': 'اصلاح وتجديد محركات الطائرات وقطع غيارها', 'Third Party': 'Dubai Civil Aviation Authority (DCAA)', 'When': 'PRE', 'Risk Rating': 'High', 'Industry Risk': None, 'DNFBP': None, 'Notes': None, 'Status': 'Active', 'ESR': None, 'ESR Notes': None, 'Edit Remarks': '15-May-2025,16-May-2025'}",020af31b507e1f45fee87001d0d0bb01be80658a74f34feabe733bc39e35ec06
Meydan,api,3315.94,Aircraft Seats Upholstery,aircraft seats upholstery,Manufacturing,Active,Low,,,Dubai Civil Aviation Authority (DCAA),PRE,,"{'SN': 38, 'Category': 'Manufacturing', 'Group': 331, 'Code': '3315.94', 'Activity Name': 'Aircraft Seats Upholstery', 'النشاط': 'تنجيد مقاعد الطائرات', 'Third Party': 'Dubai Civil Aviation Authority (DCAA)', 'When': 'PRE', 'Risk Rating': 'Low', 'Industry Risk': None, 'DNFBP': None, 'Notes': None, 'Status': 'Active', 'ESR': None, 'ESR Notes': None, 'Edit Remarks': '15-May-2025,16-May-2025'}",c0608552a61726bb9880143634176d576be75493eadb0d6e26e71e072d6e01b1
